"Stock_ID","Year","Catch_biomass","Weight","Stock_number","Spawning_number","Stock_biomass","Spawning_biomass","F","U"
1,1995,219.413987,311,19.35388202,5.188187984,602.532165,161.5205742,0.716508521,0.364153152
1,1996,401.3152588,311,33.36688432,7.900883992,1038.7901,245.9732229,0.84058927,0.386329499
1,1997,297.6606128,311,28.33640655,8.106664264,882.1794183,252.3796499,0.651460956,0.33741505
1,1998,133.8753643,311,12.06774981,3.546105477,375.6976201,110.3986584,0.624686636,0.356338068
1,1999,177.6009603,311,16.12309685,4.781576142,501.9501742,148.861785,0.615482602,0.353821892
1,2000,315.3950102,311,25.67081206,6.398826588,799.1931516,199.21062,0.789240001,0.394641783
1,2001,262.9444136,311,28.6149168,9.467680109,890.8501019,294.7512952,0.506044244,0.295161232
1,2002,186.9208964,311,23.16769764,8.383011507,721.265274,260.9829938,0.416551747,0.259156933
1,2003,223.8538447,311,23.24061321,7.490947512,723.5353083,233.2109298,0.532206025,0.309388971
1,2004,213.6099296,311,23.45909206,7.778616651,730.337072,242.1667511,0.503879627,0.292481291
1,2005,185.369693,311,21.20964394,7.295982177,660.3064267,227.1411974,0.467132171,0.280732832
1,2006,166.0460887,311,16.57675862,5.341519299,516.073739,166.2941411,0.532491506,0.321748766
1,2007,266.5993773,311,33.51930924,11.92502219,1043.535449,371.2541715,0.433482771,0.255477068
1,2008,205.4684909,311,31.62431534,12.53870147,984.5398028,390.3594605,0.325106318,0.208694956
1,2009,213.1263261,311,31.89313323,12.27101808,992.9087401,382.0258429,0.355150499,0.214648454
1,2010,221.2227273,311,24.57804452,8.27096538,765.1727109,257.4947326,0.48910231,0.289114763
1,2011,289.5572972,311,31.02847704,10.05289184,965.9899459,312.9703218,0.527045059,0.299751875
1,2012,182.8380739,311,24.6903436,9.150030084,768.6688473,284.8620979,0.392655053,0.237863255
1,2013,233.806496,311,24.55594766,7.938292735,764.4847833,247.1378456,0.529255861,0.305835382
1,2014,224.6630685,311,22.91151358,7.270607002,713.2896576,226.3512081,0.547799779,0.314967512
1,2015,193.193601,311,16.04764346,4.222839782,499.6011316,131.4669994,0.735054178,0.386695683
1,2016,101.1083842,311,8.177874436,2.143943113,254.5965912,66.74602459,0.738785558,0.397131728
1,2017,53.71652735,311,7.355362497,2.764585076,228.9898473,86.06807818,0.378539078,0.234580389
1,2018,45.39881389,311,5.121470451,1.75920776,159.4434995,54.76830225,0.468578024,0.284732924
1,2019,43.90034422,311,4.635911604,NA,144.3269031,NA,NA,NA
